Species,Animal,Muscle,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),Compactness,"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation""",Fibre Diameter (_m)
Human,Human,S,0.88,162.9,146.5,25,15,77.6,3.4,4.19,187.4,277,48,123.9,469.3,61.6,138.6,50.3,4.4,79.2,0.68,51.9
Human,Human,S,0.76,107.8,93.3,14,9,49.7,4.5,3.54,91.5,146.3,23.6,65.5,212.4,70,81.4,58.1,2,92.5,0.32,67.8
Human,Human,S,0.8925,166.9153846,130.7076923,32.07692308,14.46153846,75.11538462,2.9,4.216153846,183.1,203.9,36.3,104.1,389.7,55.5,112.3461538,48.15384615,5.9,41.1,0.74,51.5
Human,Human,S,0.8925,166.9153846,130.7076923,32.07692308,14.46153846,75.11538462,2.9,4.216153846,254.1,269,43.5,122.6,523.3,53,112.3461538,48.15384615,8.4,44.2,0.81,55.2
Human,Human,S,0.67,136,105.7,25,11,61.2,3.1,3.83,126.2,195.7,31.2,91.4,315,66.5,91,46.8,2.9,88.1,0.47,61.7
Human,Human,S,0.96,225.5,174.8,46,20,101.9,2.6,4.73,180.3,279,46.2,129.1,500,59.1,145.3,52.4,5.1,65,0.71,67.7
Human,Human,S,0.8925,166.9153846,130.7076923,32.07692308,14.46153846,75.11538462,2.9,4.216153846,123.4,175.2,31.4,86.6,289.5,62.8,112.3461538,48.15384615,2.8,73.2,0.51,128.4
Human,Human,S,0.8925,166.9153846,130.7076923,32.07692308,14.46153846,75.11538462,2.9,4.216153846,84.4,115,25.9,68.8,183.1,63.9,112.3461538,48.15384615,2.3,62,0.45,49.1
Human,Human,S,1.09,184.7,142.9,32,14,80.9,3,4.37,169.7,243.3,47.3,117.6,434.7,59.5,113.5,46.7,4.7,64.2,0.69,40.9
Human,Human,S,1.01,183,115.4,41,12,74.7,2,4.27,172.6,293.8,50.8,135.6,458.6,65.2,92.5,31.8,3.6,99.7,0.63,78.1
Human,Human,S,1.13,181.8,159.1,31,15,82.4,3.4,4.22,187.3,222,38,103.4,390.7,60.6,122.3,57.3,4.5,77.6,0.6,60.4
Human,Human,S,0.94,169.3,124.3,33,16,78.1,2.7,4.4,155.5,223.1,37.4,103.7,381.1,61.1,107.5,49.3,3.9,69.5,0.64,46.9
Human,Human,S,0.74,234.6,188,44,18,102.4,2.8,4.74,246.5,399.2,58.3,159.1,702.2,58.9,167.9,43.5,6.5,69,0.8,83.5
Human,Human,S,0.89,136.5,92.9,35,14,59.9,1.9,4.15,220.8,252.7,42.7,111.9,416.3,61.5,83.5,33.8,3.6,92.6,0.57,83
Human,Human,S,0.68,96,83.3,17,7,40.6,2.6,3.38,115.6,147.3,35.6,87.8,243.2,63.7,76.3,51.5,3.2,57.3,0.52,50.4
Human,Human,S,0.91,219.2,128.3,53,21,96.8,2.1,4.84,236.1,281.4,44,120.8,508.2,57,106.9,39,5.7,59.3,0.75,69.3
